StudentID,CGPA,Internships,Projects,Workshops_Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,Backlogs,CommunicationScore,TechnicalScore,MockInterviews,GitHub_Repos,CompetitiveCoding,PlacementStatus,PackageLPA
STU0016,6.58,0,0,2,62.1,4.9,1,0,78.8,62.1,0,2.5,65.0,3,6,0,0,0.0
STU0017,6.09,1,1,0,44.5,3.6,0,0,86.1,99.1,0,2.3,66.1,3,3,0,0,0.0
STU0018,7.55,0,4,1,45.6,4.3,0,1,56.6,59.4,0,3.5,51.2,2,3,2,0,0.0
STU0019,6.2,0,1,2,53.0,5.0,1,1,72.2,59.2,0,3.5,55.2,0,3,0,0,0.0
STU0020,5.65,0,1,2,54.2,2.9,1,1,59.2,56.4,0,3.3,57.6,1,3,1,0,0.0
STU0021,8.81,2,1,1,53.7,3.4,0,0,71.4,77.3,0,3.1,91.0,1,4,0,1,14.36
STU0022,6.95,3,4,1,75.8,3.3,0,0,69.3,71.9,0,5.0,63.7,4,4,1,1,14.64
STU0023,7.27,1,2,2,60.4,1.7,0,1,71.4,84.1,2,3.8,41.2,4,3,1,0,0.0
STU0024,5.63,3,3,0,65.3,3.2,1,1,62.4,78.7,0,5.0,69.6,0,6,1,1,11.52
STU0025,6.6,1,1,0,81.4,4.3,0,1,54.2,52.1,2,4.6,79.9,5,3,1,1,13.02
STU0026,7.32,1,3,3,56.5,4.0,1,1,46.9,59.5,2,5.0,64.5,1,4,1,1,12.08
STU0027,5.93,0,3,0,64.0,4.1,1,1,70.4,87.7,0,2.4,91.4,2,2,2,1,13.58
STU0028,7.61,1,2,2,73.5,3.2,1,1,66.8,67.4,0,4.0,79.0,1,5,2,1,13.11
STU0029,6.54,3,2,4,38.9,2.9,0,0,63.9,85.4,1,3.0,46.1,4,1,1,0,0.0
STU0030,6.88,1,1,1,32.2,4.6,0,1,87.9,68.1,1,1.8,55.1,3,2,2,0,0.0
STU0031,6.54,1,5,1,73.2,3.1,1,1,61.7,57.4,0,4.8,69.1,2,5,2,1,12.82
STU0032,9.24,1,3,2,75.4,3.8,1,0,89.0,66.1,0,3.1,35.0,3,2,1,1,13.05
STU0033,7.19,0,4,3,99.0,3.6,0,1,91.5,57.4,0,2.4,71.1,1,4,0,1,13.23
STU0034,6.04,2,2,4,70.4,4.8,1,1,48.6,62.6,0,3.0,33.3,2,9,1,1,12.2
STU0035,8.1,1,3,2,80.3,4.4,0,1,73.1,72.6,0,2.6,83.4,2,4,0,1,13.39
STU0036,5.86,1,3,0,65.1,2.3,0,1,67.2,76.7,0,2.7,81.3,1,2,1,0,0.0
STU0037,7.43,1,3,2,72.5,2.4,1,1,40.0,49.3,1,3.2,74.1,4,3,1,0,0.0
STU0038,5.04,1,5,1,93.0,4.0,0,1,54.7,69.8,3,5.0,52.8,3,6,1,0,0.0
STU0039,5.74,0,2,1,36.1,3.4,1,1,81.3,62.4,1,2.8,68.1,1,3,1,0,0.0
STU0040,7.42,1,1,0,74.2,3.1,1,1,96.2,61.6,3,5.0,55.8,1,5,1,1,11.74
STU0041,8.01,0,3,0,100.0,4.4,1,1,82.8,71.7,1,4.2,46.4,0,5,0,1,12.43
STU0042,7.39,2,3,3,72.2,3.7,1,0,75.9,62.8,1,3.8,58.9,1,4,0,1,14.59
STU0043,7.07,2,2,1,92.8,3.5,1,1,71.7,88.0,0,4.1,77.6,2,5,1,1,15.15
STU0044,6.87,2,1,1,58.6,4.2,0,1,92.2,85.4,0,3.4,65.8,1,3,1,1,13.11
STU0045,5.57,1,2,1,67.5,3.2,1,1,97.8,85.4,2,4.6,91.1,3,4,2,1,12.28
STU0046,6.41,1,2,3,68.5,4.9,1,0,65.0,63.6,2,3.9,78.8,2,4,0,0,0.0
STU0047,6.69,0,2,2,34.7,2.8,0,1,48.0,57.5,0,1.8,76.9,1,2,0,0,0.0
STU0048,8.36,2,3,1,50.5,4.1,0,1,46.8,71.1,0,3.7,36.0,5,2,1,1,12.72
STU0049,7.58,0,3,0,51.5,4.8,0,1,87.9,68.0,1,4.1,59.9,1,4,1,1,11.05
STU0050,5.26,1,1,1,80.3,2.3,1,1,71.4,62.1,0,3.1,45.8,2,4,0,0,0.0
STU0051,7.56,0,2,4,81.1,3.2,1,1,74.2,54.7,0,3.5,61.7,2,3,1,1,13.21
STU0052,6.78,0,1,2,72.9,4.5,1,0,50.5,69.5,2,2.8,52.5,1,5,0,0,0.0
STU0053,6.46,1,1,2,80.4,4.5,1,1,63.0,64.7,0,2.1,58.2,1,3,0,1,11.99
STU0054,7.87,0,3,2,65.5,3.3,1,0,68.5,78.9,1,1.9,84.1,1,6,0,0,0.0
STU0055,8.33,2,4,1,86.0,2.8,1,1,74.5,78.6,2,1.9,73.6,4,5,1,1,13.06
STU0056,8.22,1,2,3,68.1,4.4,1,1,67.2,84.3,0,4.0,83.1,3,3,2,1,14.26
STU0057,6.28,0,3,2,68.9,4.6,1,1,59.6,53.6,0,1.0,36.2,3,3,0,0,0.0
STU0058,6.86,1,4,0,64.0,2.5,1,1,62.6,75.2,0,2.8,66.0,2,4,0,1,13.64
STU0059,7.56,0,4,0,78.3,2.4,1,1,86.5,60.5,0,2.7,82.4,2,6,2,1,12.91
STU0060,8.27,0,1,2,61.7,3.7,1,0,74.9,54.1,1,3.1,92.1,1,2,2,0,0.0
STU0061,6.67,2,5,4,82.6,4.1,1,0,79.3,64.4,0,1.6,37.1,0,4,0,1,10.97
STU0062,7.0,0,2,1,51.0,3.2,1,1,61.2,83.9,0,3.8,58.7,1,1,0,0,0.0
STU0063,5.98,2,2,3,51.5,4.1,1,1,40.0,65.2,0,2.2,83.6,2,2,0,0,0.0
STU0064,5.88,0,0,3,78.3,2.9,1,1,65.7,90.4,0,4.5,61.5,0,4,0,0,0.0
STU0065,8.09,0,2,1,66.7,1.6,1,0,61.6,77.1,0,2.8,48.6,0,1,1,0,0.0
STU0066,8.69,2,1,0,61.2,3.1,1,0,76.2,64.9,1,3.3,37.1,1,4,3,0,0.0
STU0067,7.12,1,1,0,81.4,3.6,1,0,100.0,85.1,0,3.4,47.9,2,7,1,1,12.93
STU0068,8.3,0,2,2,58.9,3.3,0,0,80.3,75.8,0,3.6,34.6,2,8,3,1,11.49
STU0069,7.6,1,4,0,65.0,2.5,0,1,100.0,57.9,0,3.4,66.1,0,2,1,0,0.0
STU0070,6.49,0,4,1,89.0,1.9,1,0,78.8,94.2,2,3.0,81.1,1,5,2,0,0.0
STU0071,7.6,2,2,2,91.1,3.0,1,1,64.4,73.4,0,3.7,42.3,1,7,0,1,14.71
STU0072,8.89,1,4,2,91.6,4.3,1,0,76.2,70.2,1,3.8,69.6,0,1,0,1,16.67
STU0073,7.16,2,4,0,63.8,4.6,0,1,93.4,58.9,0,2.7,80.2,1,3,2,1,13.34
STU0074,8.92,2,3,1,86.5,4.6,0,1,94.0,85.3,1,3.8,65.0,0,7,0,1,15.12
STU0075,4.32,1,1,1,53.8,2.8,0,0,65.1,76.7,0,4.5,36.0,3,2,0,0,0.0
STU0076,8.1,3,3,2,54.4,2.5,0,1,75.0,78.2,3,4.1,72.0,2,7,1,1,14.72
STU0077,7.3,1,4,3,32.7,3.9,1,0,54.8,63.4,1,4.3,64.0,1,4,0,1,11.77
STU0078,6.87,3,3,0,93.1,4.1,0,0,81.9,80.8,2,3.6,62.2,0,1,1,1,13.36
STU0079,7.3,0,2,3,55.0,3.9,1,1,90.6,81.9,0,2.5,55.2,1,3,0,0,0.0
STU0080,5.01,1,2,2,66.1,1.7,1,1,72.5,61.3,1,2.6,66.6,1,3,2,0,0.0
STU0081,6.96,1,3,2,54.3,2.7,1,1,64.0,51.6,1,3.7,74.2,5,2,0,1,14.23
STU0082,7.59,1,2,2,78.4,3.5,1,1,76.3,77.6,0,4.3,100.0,4,4,1,1,14.7
STU0083,8.83,1,1,1,62.4,3.9,1,1,77.0,49.5,0,5.0,67.0,0,3,0,1,12.83
STU0084,6.63,2,2,0,48.4,4.2,0,0,73.0,72.0,1,4.3,92.2,3,3,2,0,0.0
STU0085,6.31,0,4,2,74.6,3.6,1,1,74.1,64.2,0,2.3,71.4,1,1,1,0,0.0
STU0086,6.65,0,4,2,46.5,3.8,1,0,69.9,85.8,1,2.7,63.2,0,5,0,0,0.0
STU0087,8.21,2,1,2,55.4,3.6,0,1,84.0,64.9,0,5.0,67.7,3,3,0,1,13.81
STU0088,7.56,1,5,1,36.4,4.1,0,1,80.8,84.4,0,3.2,43.0,0,6,0,0,0.0
STU0089,6.62,3,2,4,46.6,3.8,0,0,60.2,63.3,1,3.4,70.5,2,6,1,0,0.0
STU0090,7.76,2,3,2,70.7,3.6,0,1,59.9,83.0,0,2.5,29.1,3,3,1,1,12.45
STU0091,7.31,3,3,0,38.5,3.3,1,1,68.9,96.8,3,4.9,49.5,2,0,0,0,0.0
STU0092,8.27,2,4,1,45.8,3.6,1,1,80.8,56.1,2,3.9,67.0,5,7,1,1,12.06
STU0093,6.43,0,4,3,68.0,3.9,0,0,73.8,73.8,1,2.7,86.5,3,5,2,1,12.5
STU0094,6.84,0,2,3,59.8,3.7,1,1,64.3,100.0,2,2.5,90.8,3,1,0,0,0.0
STU0095,6.77,2,4,1,97.9,3.8,1,1,75.1,70.9,2,3.7,60.7,2,5,1,1,14.24
STU0096,5.59,1,1,3,95.5,4.7,0,0,68.0,70.8,0,3.4,67.8,0,0,1,0,0.0
STU0097,7.53,0,3,1,55.0,3.7,1,1,82.6,80.3,2,4.2,82.7,3,0,1,0,0.0
STU0098,7.49,1,3,1,76.4,2.9,1,0,76.0,70.5,0,3.9,41.1,5,4,0,1,11.66
STU0099,7.21,3,3,3,79.2,4.3,1,0,68.2,47.8,0,3.1,72.3,2,1,0,1,14.67
STU0100,6.94,1,1,3,59.0,2.3,1,1,74.8,84.7,0,2.9,50.1,5,8,0,1,12.13
STU0101,5.64,1,4,2,45.6,2.5,1,1,87.8,44.0,1,3.2,61.9,0,6,1,0,0.0
STU0102,6.74,1,1,3,67.8,3.8,0,1,65.2,64.6,0,2.9,56.7,1,4,1,0,0.0
STU0103,6.82,0,0,0,65.4,4.0,1,1,76.8,85.7,0,3.3,72.8,1,1,0,0,0.0
STU0104,6.32,1,3,3,61.5,2.4,1,0,71.2,65.4,1,3.4,74.9,2,3,0,0,0.0
STU0105,7.02,1,2,1,74.6,3.2,0,0,77.1,61.0,0,2.5,81.0,3,3,0,0,0.0
STU0106,7.64,0,4,0,56.7,3.0,1,1,64.1,81.4,1,4.0,71.3,1,3,2,1,12.35
STU0107,9.27,2,2,1,50.7,3.1,1,0,73.3,58.9,1,3.0,68.1,4,2,0,1,13.42
STU0108,7.39,1,1,1,69.6,4.3,0,1,85.3,54.1,0,2.6,98.4,2,4,1,1,13.29
STU0109,7.48,2,4,1,73.8,4.1,1,1,60.8,73.6,0,3.1,37.6,2,3,2,1,11.53
STU0110,7.12,2,2,1,50.4,3.5,0,0,56.0,67.6,1,3.6,95.5,3,8,2,1,14.03
STU0111,5.09,0,1,0,81.9,3.0,1,0,56.5,53.8,0,3.5,59.8,0,7,1,0,0.0
STU0112,7.17,1,3,1,41.4,2.3,0,1,58.0,78.3,0,3.8,75.3,3,4,0,1,11.48
STU0113,7.27,1,2,2,59.3,4.8,1,1,79.1,76.0,0,4.3,59.1,1,4,2,1,11.29
STU0114,9.91,2,3,1,64.1,4.0,0,1,55.1,65.3,0,4.6,52.4,1,1,2,1,14.23
STU0115,6.99,0,2,1,58.5,2.9,0,1,68.4,66.2,0,3.7,73.7,2,2,2,0,0.0
STU0116,7.53,1,4,2,59.5,4.1,0,1,79.4,76.1,0,2.4,83.8,4,7,0,1,12.73
STU0117,7.16,1,4,3,96.1,3.4,1,0,77.0,85.5,1,3.1,73.5,2,4,0,1,12.83
STU0118,5.91,0,3,3,55.2,3.2,1,0,67.4,66.3,0,2.4,55.2,3,2,1,0,0.0
STU0119,8.46,0,1,1,100.0,3.9,1,1,74.3,78.5,2,5.0,100.0,3,4,3,1,15.27
STU0120,8.03,1,4,2,74.6,2.8,1,0,73.3,77.3,0,5.0,86.6,1,7,2,1,14.78
STU0121,8.07,2,3,0,69.4,3.2,1,0,69.3,81.4,0,4.0,81.8,4,3,2,1,13.95
STU0122,6.2,1,3,0,75.1,3.6,0,1,69.5,70.5,1,4.2,58.6,2,2,1,0,0.0
STU0123,8.74,1,2,1,100.0,3.1,1,1,98.8,58.1,1,3.6,53.7,1,8,0,1,13.11
STU0124,5.66,1,4,3,53.1,4.1,0,0,81.7,64.0,1,3.7,60.0,2,3,1,0,0.0
STU0125,7.85,2,3,1,51.2,5.0,1,1,100.0,74.5,1,1.9,84.5,1,3,2,1,14.01
STU0126,9.61,0,1,0,56.7,2.8,1,1,66.0,93.6,1,3.3,47.2,1,2,1,0,0.0
STU0127,6.11,2,2,0,68.5,2.0,1,0,71.0,63.7,0,2.6,45.8,1,6,3,0,0.0
STU0128,6.58,0,4,3,42.1,1.7,0,1,56.0,80.5,1,3.7,74.7,1,6,0,0,0.0
STU0129,7.31,1,0,2,68.3,3.4,1,0,62.3,65.7,1,3.3,70.7,3,3,0,0,0.0
STU0130,6.65,0,5,1,93.4,2.9,0,1,94.8,71.4,3,5.0,51.1,2,0,3,0,0.0
STU0131,5.49,0,3,2,70.3,3.7,0,0,65.7,89.7,1,4.3,45.4,3,3,0,0,0.0
STU0132,7.28,1,3,2,63.6,3.6,0,1,95.0,79.9,1,3.7,90.9,1,2,1,1,11.94
STU0133,6.03,0,1,2,58.7,2.1,1,0,57.1,53.9,0,3.1,71.4,3,1,2,0,0.0
STU0134,7.72,2,1,1,81.5,1.9,1,1,59.4,62.6,2,5.0,40.5,0,3,0,0,0.0
STU0135,6.19,0,4,3,55.6,3.8,0,1,67.9,86.3,3,3.4,41.7,2,1,2,0,0.0
STU0136,8.9,1,1,1,95.7,3.6,0,1,71.2,71.8,1,3.7,58.5,1,8,0,1,15.2
STU0137,6.34,1,3,2,97.0,3.1,1,1,83.1,55.1,1,3.4,78.2,2,0,2,1,14.14
STU0138,6.85,0,2,0,71.9,2.0,1,0,77.4,59.4,0,3.0,75.7,1,3,0,0,0.0
STU0139,8.09,0,1,1,67.8,3.9,0,1,67.0,79.1,1,3.4,85.4,3,2,1,1,13.11
STU0140,5.85,1,0,1,83.5,4.6,0,0,70.4,82.9,1,1.5,38.2,4,4,1,0,0.0
STU0141,7.45,1,2,2,84.4,3.8,1,1,68.2,70.2,1,1.9,69.0,3,1,1,1,12.95
STU0142,8.64,1,5,0,55.9,2.7,1,0,61.0,100.0,0,3.7,90.7,1,4,1,1,13.43
STU0143,5.43,1,2,3,60.1,3.5,1,1,61.3,80.7,1,4.9,89.0,1,5,3,0,0.0
STU0144,7.4,1,2,1,48.2,2.3,1,1,84.3,66.8,0,3.7,71.5,4,8,2,1,12.03
STU0145,7.49,0,2,2,74.1,4.5,0,1,50.1,59.4,1,2.7,100.0,2,4,3,1,12.43
STU0146,8.06,1,2,3,78.0,3.6,0,0,91.4,57.3,0,2.0,76.0,5,1,1,1,13.56
STU0147,5.84,3,2,2,47.8,1.9,0,1,67.9,74.4,1,4.1,83.8,2,1,1,0,0.0
STU0148,5.75,1,4,2,61.2,3.2,0,1,62.7,63.6,0,2.9,65.8,5,5,0,1,10.5
STU0149,7.77,1,2,2,47.8,3.9,1,1,80.9,91.8,0,4.0,50.9,5,2,3,1,10.54
STU0150,7.53,1,2,1,54.5,3.2,1,1,89.8,89.1,1,3.8,49.2,3,3,0,0,0.0
STU0151,7.48,2,1,3,76.3,3.3,1,1,85.4,78.2,0,3.9,68.3,0,9,0,1,15.72
STU0152,7.58,2,5,1,57.0,2.4,0,1,78.0,54.7,1,3.4,61.2,2,5,0,1,13.04
STU0153,6.45,1,1,2,63.5,4.0,1,0,85.0,61.3,3,3.8,33.2,4,6,0,0,0.0
STU0154,7.46,3,0,2,43.6,2.9,1,1,51.4,86.3,3,3.3,46.5,4,6,3,1,12.17
STU0155,7.52,0,3,1,70.8,1.6,0,0,65.7,62.7,0,2.8,59.3,1,4,0,0,0.0
STU0156,6.41,0,2,1,67.3,3.2,1,1,61.1,84.6,2,2.5,78.1,2,5,3,0,0.0
STU0157,9.25,2,2,1,57.1,4.4,0,1,86.7,76.2,0,1.1,64.7,4,3,1,1,13.36
STU0158,7.72,2,2,3,65.2,3.2,0,1,67.4,70.7,2,3.2,63.7,2,10,2,1,13.02
STU0159,5.89,0,3,4,70.7,5.0,1,1,82.1,60.9,1,4.8,47.2,4,2,1,1,10.2
STU0160,7.92,0,1,2,55.8,3.9,1,1,78.4,68.8,0,4.1,65.4,4,4,0,1,11.63
STU0161,6.13,0,4,2,45.9,3.8,0,1,61.7,72.5,0,3.6,88.7,4,2,1,1,11.46
STU0162,8.07,0,3,4,95.1,3.4,0,1,65.0,83.4,0,2.7,67.8,0,1,1,1,12.88
STU0163,8.47,2,2,0,58.5,3.4,1,1,87.5,58.5,1,4.3,37.9,0,4,0,0,0.0
STU0164,6.3,1,2,1,66.5,3.3,1,0,62.7,66.6,0,3.3,42.5,0,3,0,0,0.0
STU0165,8.26,1,1,2,83.2,3.2,1,0,73.5,70.6,1,4.9,75.6,5,4,0,1,13.04
STU0166,7.65,1,3,3,100.0,4.0,0,0,62.6,78.6,1,2.5,61.0,2,4,0,0,0.0
STU0167,8.1,0,2,3,49.3,2.7,0,1,68.2,58.2,3,2.7,63.7,0,4,1,0,0.0
STU0168,9.29,0,2,1,74.7,2.5,0,1,71.4,52.9,3,2.6,54.0,1,1,0,0,0.0
STU0169,6.93,1,2,0,57.4,2.5,0,0,62.6,78.8,0,2.0,74.1,2,3,2,0,0.0
STU0170,6.37,3,5,1,59.9,5.0,0,1,60.5,50.3,1,2.5,59.6,4,5,3,1,12.42
STU0171,6.22,2,2,1,57.2,4.0,0,1,75.4,86.7,2,3.5,61.6,3,3,0,0,0.0
STU0172,6.3,0,4,1,51.1,3.8,1,1,61.9,68.0,2,2.7,49.7,3,3,1,0,0.0
STU0173,7.12,2,2,3,67.4,2.5,0,1,62.3,49.9,0,1.0,81.6,0,3,0,0,0.0
STU0174,7.58,2,0,0,45.9,4.1,1,0,60.7,63.8,0,4.4,61.0,4,6,0,0,0.0
STU0175,7.5,2,1,3,82.2,3.4,0,0,71.1,74.9,0,1.8,75.9,1,4,2,1,13.75
STU0176,8.11,1,2,1,68.8,3.7,1,0,83.3,63.1,0,4.0,43.5,3,1,0,0,0.0
STU0177,7.21,1,1,2,74.3,2.6,0,0,90.1,70.3,0,3.4,96.2,0,6,0,1,13.07
STU0178,8.8,1,0,0,61.0,3.6,1,0,63.3,79.6,0,5.0,88.0,0,6,0,0,0.0
STU0179,6.91,0,4,1,62.5,3.1,0,1,97.8,67.4,1,4.3,30.6,0,5,2,0,0.0
STU0180,10.0,0,4,0,72.3,2.8,1,0,59.9,57.8,0,2.9,50.6,2,3,1,1,12.55
STU0181,7.89,0,3,4,50.5,4.2,1,0,85.0,66.1,1,2.7,73.6,3,5,3,1,11.29
STU0182,6.26,1,1,3,62.6,2.1,1,0,63.3,88.4,0,4.8,41.2,0,3,3,0,0.0
STU0183,6.02,2,1,1,55.1,4.0,0,1,61.5,91.9,2,2.0,62.6,1,5,0,0,0.0
STU0184,7.73,1,0,1,54.6,4.1,1,1,63.1,43.7,3,3.6,72.7,4,6,0,0,0.0
STU0185,6.95,0,3,4,36.4,2.7,1,1,71.4,84.2,1,3.3,61.7,0,6,0,0,0.0
STU0186,7.99,3,4,1,88.1,2.8,0,0,79.0,73.3,2,3.1,74.7,1,3,1,1,15.84
STU0187,7.72,3,2,0,57.7,3.3,1,1,80.0,82.0,0,3.7,52.5,2,6,1,1,13.08
STU0188,7.12,2,1,2,85.5,3.8,1,0,60.7,62.8,1,3.6,24.6,4,1,0,0,0.0
STU0189,6.27,3,2,4,84.0,3.4,1,0,60.1,47.0,0,3.8,82.7,1,1,0,1,14.06
STU0190,5.53,1,2,0,48.7,3.9,1,1,61.0,77.6,0,3.5,82.6,5,4,0,1,12.06
STU0191,6.71,3,2,1,51.7,5.0,1,1,70.7,57.8,0,3.8,100.0,2,4,2,1,11.96
STU0192,8.14,0,3,4,100.0,3.0,1,1,69.5,52.0,0,3.5,25.3,2,2,3,1,12.53
STU0193,7.44,1,3,0,94.3,2.0,1,1,60.6,52.9,0,2.8,78.5,0,3,0,1,12.42
STU0194,5.83,0,1,0,67.5,4.2,1,1,75.2,77.8,1,3.4,29.6,3,1,0,0,0.0
STU0195,7.39,0,0,2,71.9,5.0,1,0,99.2,71.8,0,2.7,96.6,1,4,0,1,13.02
STU0196,7.62,0,5,3,58.5,3.9,1,1,65.9,80.2,2,2.7,73.8,3,6,2,1,13.21
STU0197,6.23,1,1,1,74.5,2.5,1,0,66.8,78.7,1,3.1,47.9,1,5,3,1,12.22
STU0198,7.37,2,0,4,57.2,3.4,0,1,78.7,64.5,0,3.3,79.0,2,3,0,1,12.66
STU0199,7.26,1,1,2,37.5,2.5,0,0,65.3,69.1,0,3.4,55.0,4,10,0,0,0.0
STU0200,5.94,0,0,0,48.2,4.1,0,1,80.0,63.4,2,4.3,70.4,3,4,0,0,0.0
STU0201,7.59,2,2,4,68.3,2.3,0,1,63.4,67.3,0,2.9,68.7,1,5,1,1,12.89
STU0202,7.82,1,4,1,51.0,3.2,0,1,94.0,57.4,0,3.6,96.4,3,4,1,1,13.1
STU0203,8.39,1,2,1,67.0,2.6,1,0,76.1,75.1,1,3.5,97.7,3,9,1,1,15.2
STU0204,8.36,1,2,2,51.9,3.6,0,0,64.6,84.0,0,2.8,54.2,0,6,3,1,11.55
STU0205,5.68,0,3,1,56.3,3.2,1,0,64.9,59.4,0,3.5,84.0,2,4,0,0,0.0
STU0206,6.17,1,2,0,80.8,3.7,1,1,65.8,86.7,0,4.4,71.4,1,3,2,1,12.33
STU0207,7.77,3,4,0,71.7,3.5,0,1,88.5,71.5,0,3.6,39.6,2,4,0,1,15.74
STU0208,7.77,0,4,1,67.9,2.6,0,1,56.8,73.1,0,3.6,52.5,3,4,0,0,0.0
STU0209,7.77,1,0,3,81.2,4.1,1,0,64.0,47.9,0,2.7,100.0,1,4,2,1,15.32
STU0210,10.0,2,3,2,75.2,3.5,1,1,65.3,46.5,0,5.0,71.4,0,3,3,1,15.76
STU0211,7.83,2,2,4,89.7,2.6,1,0,71.8,71.9,0,2.8,83.0,1,3,2,1,15.44
STU0212,8.45,0,5,1,61.1,5.0,1,0,68.7,80.3,3,1.8,61.2,5,4,2,1,12.73
STU0213,8.25,0,2,1,61.6,3.9,1,1,54.1,61.3,0,4.2,55.3,3,6,2,1,12.37
STU0214,7.92,0,5,0,48.5,3.4,1,1,67.2,91.7,1,3.3,65.5,0,5,0,0,0.0
STU0215,6.85,1,3,0,61.6,4.8,1,0,70.8,79.6,0,3.1,60.2,2,1,2,1,12.17
STU0216,8.03,1,1,1,82.5,5.0,1,0,64.5,58.2,0,2.9,38.1,1,2,2,1,12.67
STU0217,6.35,0,2,3,87.5,3.4,1,1,80.2,70.4,2,5.0,46.9,3,0,1,0,0.0
STU0218,6.94,3,5,4,82.4,3.8,0,0,83.0,100.0,1,3.7,77.7,2,0,1,1,14.23
STU0219,6.67,1,4,4,41.1,2.6,1,1,71.1,53.8,0,3.9,58.1,5,2,2,1,11.5
STU0220,7.29,0,0,1,84.2,3.4,1,1,74.8,76.9,0,3.6,65.5,1,5,2,1,13.46
STU0221,9.75,1,3,3,40.4,3.3,1,1,46.1,65.8,0,3.7,69.2,2,7,0,1,10.71
STU0222,5.15,1,2,1,81.5,3.7,0,0,66.9,79.2,2,4.7,70.6,3,3,2,0,0.0
STU0223,7.95,0,0,0,62.5,3.8,0,0,84.1,86.5,0,3.2,85.6,4,4,2,1,11.35
STU0224,5.43,0,2,3,78.5,4.0,0,1,66.9,65.0,0,2.0,45.2,2,5,0,0,0.0
STU0225,6.68,2,1,2,48.0,3.7,0,1,63.2,84.5,1,4.2,75.3,3,8,2,1,11.95
STU0226,8.4,1,4,0,85.6,2.4,0,0,99.3,98.9,3,3.9,78.6,1,7,0,1,15.41
STU0227,7.27,1,2,1,46.0,2.7,1,0,93.8,70.9,2,3.5,82.7,2,1,0,0,0.0
STU0228,6.01,1,4,1,58.0,3.0,0,0,77.6,80.2,0,3.8,39.6,4,2,1,0,0.0
STU0229,6.41,0,0,2,53.0,3.2,0,1,85.7,62.3,1,3.0,69.6,5,0,3,0,0.0
STU0230,7.95,0,2,1,41.7,4.4,0,1,45.3,70.3,1,3.4,95.9,3,4,0,0,0.0
STU0231,6.4,1,1,4,69.4,2.5,1,1,62.5,67.7,1,3.3,63.2,2,5,2,0,0.0
STU0232,7.44,0,1,0,95.1,3.2,0,1,66.4,80.4,2,2.8,73.7,4,3,1,0,0.0
STU0233,7.25,0,0,1,100.0,4.4,0,1,69.2,85.7,2,4.5,79.0,0,6,2,1,15.01
STU0234,6.48,2,1,1,69.5,3.2,1,1,66.1,68.6,0,2.1,46.5,0,3,2,0,0.0
STU0235,9.56,3,2,2,84.8,3.9,1,0,41.4,89.9,0,5.0,98.0,3,10,2,1,17.02
STU0236,7.9,2,1,1,71.5,3.4,0,0,76.6,89.9,1,4.2,74.0,1,0,2,0,0.0
STU0237,4.97,2,2,2,75.5,3.7,0,0,78.5,81.0,0,1.7,74.4,5,1,2,1,11.65
STU0238,7.41,0,2,3,62.9,3.3,0,1,91.2,63.3,0,3.2,35.1,2,3,0,0,0.0
STU0239,6.47,3,4,4,70.9,4.1,1,1,62.5,62.0,0,3.2,79.3,2,0,0,1,13.71
STU0240,8.14,0,4,3,76.1,2.1,0,1,61.6,59.4,2,3.8,74.1,3,5,0,1,14.36
